Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Sgr-AJol_060-Ex112E-lwgs-1-1.clmp.fp2_r2_screen	31782.0	10204.0	2495.0	1707.0	797.0	691.0	283.0	221.0	7.0	0.0	0.0	339764.0	2391066.0
Sgr-AJol_061-Ex11F-lwgs-1-1.clmp.fp2_r1_screen	33952.0	3988.0	2660.0	2012.0	854.0	780.0	332.0	153.0	2.0	0.0	0.0	180651.0	3179204.0
Sgr-AJol_061-Ex11F-lwgs-1-1.clmp.fp2_r2_screen	34010.0	4034.0	2752.0	1998.0	807.0	772.0	314.0	127.0	3.0	0.0	0.0	179886.0	3179885.0
Sgr-AJol_062-Ex12F-lwgs-1-1.clmp.fp2_r1_screen	135176.0	19236.0	10520.0	7883.0	3112.0	2861.0	1190.0	449.0	8.0	0.0	0.0	725635.0	12863977.0
Sgr-AJol_062-Ex12F-lwgs-1-1.clmp.fp2_r2_screen	136234.0	19164.0	10714.0	7847.0	3141.0	2915.0	1290.0	435.0	6.0	0.0	0.0	727078.0	12861223.0
Sgr-AJol_063-Ex13F-lwgs-1-1.clmp.fp2_r1_screen	77484.0	7995.0	5841.0	4220.0	1694.0	1760.0	636.0	255.0	2.0	0.0	0.0	375396.0	6483459.0
Sgr-AJol_063-Ex13F-lwgs-1-1.clmp.fp2_r2_screen	77652.0	8016.0	5837.0	4162.0	1778.0	1790.0	617.0	246.0	1.0	0.0	0.0	376575.0	6482068.0
Sgr-AJol_064-Ex14F-lwgs-1-1.clmp.fp2_r1_screen	58351.0	8418.0	4514.0	3414.0	1409.0	1347.0	531.0	247.0	0.0	0.0	0.0	299795.0	5340964.0
Sgr-AJol_064-Ex14F-lwgs-1-1.clmp.fp2_r2_screen	58638.0	8414.0	4555.0	3372.0	1393.0	1273.0	504.0	254.0	2.0	0.0	0.0	299621.0	5340964.0
Sgr-AJol_066-Ex16F-lwgs-1-1.clmp.fp2_r1_screen	108748.0	11937.0	8290.0	5987.0	2546.0	2498.0	823.0	268.0	24.0	0.0	0.0	552889.0	9695357.0
Sgr-AJol_066-Ex16F-lwgs-1-1.clmp.fp2_r2_screen	109057.0	11822.0	8661.0	6156.0	2535.0	2479.0	902.0	289.0	8.0	0.0	0.0	553140.0	9694318.0
Sgr-AJol_067-Ex17F-lwgs-1-1.clmp.fp2_r1_screen	50099.0	11164.0	4153.0	2606.0	1294.0	1139.0	415.0	179.0	3.0	1.0	0.0	434556.0	3503972.0
Sgr-AJol_067-Ex17F-lwgs-1-1.clmp.fp2_r2_screen	50712.0	11170.0	4150.0	2643.0	1293.0	1100.0	421.0	169.0	3.0	0.0	0.0	433547.0	3504373.0
