Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Viruses	Bird	Plant	Coral	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Adu-AHam_004-Ex1-a-11B-lcwgs-2-1.clmp.fp2_r1_screen	242.0	158.0	45.0	16.0	15.0	5.0	4.0	2.0	0.0	0.0	533.0	21332.0
Adu-AHam_004-Ex1-a-11B-lcwgs-2-1.clmp.fp2_r2_screen	249.0	145.0	47.0	8.0	14.0	8.0	2.0	2.0	0.0	0.0	531.0	21346.0
Adu-AHam_005-Ex1-b-11C-lcwgs-2-1.clmp.fp2_r1_screen	634.0	272.0	59.0	25.0	19.0	11.0	1.0	2.0	0.0	0.0	1112.0	36120.0
Adu-AHam_005-Ex1-b-11C-lcwgs-2-1.clmp.fp2_r2_screen	624.0	272.0	50.0	24.0	16.0	17.0	1.0	1.0	0.0	0.0	1142.0	36108.0
Adu-AHam_006-Ex1-a-11D-lcwgs-2-1.clmp.fp2_r1_screen	313.0	188.0	38.0	11.0	7.0	11.0	1.0	1.0	0.0	0.0	720.0	30228.0
Adu-AHam_006-Ex1-a-11D-lcwgs-2-1.clmp.fp2_r2_screen	313.0	172.0	35.0	27.0	7.0	7.0	1.0	1.0	0.0	0.0	727.0	30228.0
Adu-AHam_007-Ex1-a-11E-lcwgs-2-1.clmp.fp2_r1_screen	843.0	249.0	116.0	25.0	13.0	17.0	2.0	3.0	0.0	0.0	1183.0	37402.0
Adu-AHam_007-Ex1-a-11E-lcwgs-2-1.clmp.fp2_r2_screen	862.0	224.0	99.0	19.0	16.0	16.0	2.0	4.0	0.0	0.0	1170.0	37441.0
Adu-AHam_008-Ex1-b-11F-lcwgs-2-1.clmp.fp2_r1_screen	165.0	189.0	50.0	17.0	16.0	11.0	1.0	2.0	0.0	0.0	886.0	35081.0
Adu-AHam_008-Ex1-b-11F-lcwgs-2-1.clmp.fp2_r2_screen	169.0	191.0	58.0	14.0	12.0	9.0	2.0	3.0	0.0	0.0	886.0	35074.0
Adu-AHam_009-Ex1-a-11G-lcwgs-2-1.clmp.fp2_r1_screen	139.0	171.0	59.0	21.0	8.0	12.0	3.0	4.0	0.0	0.0	696.0	29967.0
Adu-AHam_009-Ex1-a-11G-lcwgs-2-1.clmp.fp2_r2_screen	140.0	185.0	59.0	15.0	12.0	10.0	0.0	3.0	0.0	0.0	677.0	29979.0
