Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Och-ATum_019-Ex1-12E-lcwgs-2-1.clmp.fp2_r2_screen	25599.0	5303.0	2660.0	1811.0	1142.0	356.0	278.0	101.0	5.0	0.0	120144.0	2542398.0
Och-ATum_020-Ex1-1F-lcwgs-2-1.clmp.fp2_r1_screen	24979.0	2173.0	2609.0	1932.0	1198.0	298.0	307.0	76.0	2.0	0.0	83020.0	2666076.0
Och-ATum_020-Ex1-1F-lcwgs-2-1.clmp.fp2_r2_screen	24953.0	2139.0	2440.0	1874.0	1187.0	297.0	259.0	73.0	4.0	0.0	82812.0	2666632.0
Och-ATum_021-Ex1-2F-lcwgs-2-1.clmp.fp2_r1_screen	44751.0	4654.0	4796.0	3441.0	2209.0	635.0	463.0	175.0	6.0	0.0	190546.0	4533033.0
Och-ATum_021-Ex1-2F-lcwgs-2-1.clmp.fp2_r2_screen	44849.0	4595.0	4727.0	3390.0	2115.0	626.0	522.0	174.0	7.0	0.0	190193.0	4533511.0
Och-ATum_022-Ex1-3F-lcwgs-2-1.clmp.fp2_r1_screen	22553.0	1232.0	1932.0	1550.0	1041.0	252.0	208.0	98.0	7.0	0.0	86430.0	2623478.0
Och-ATum_022-Ex1-3F-lcwgs-2-1.clmp.fp2_r2_screen	22504.0	1187.0	1986.0	1623.0	993.0	243.0	193.0	80.0	3.0	0.0	86217.0	2623752.0
Och-ATum_023-Ex1-4F-lcwgs-2-1.clmp.fp2_r1_screen	5579.0	594.0	529.0	375.0	240.0	63.0	49.0	16.0	0.0	0.0	27356.0	651597.0
Och-ATum_023-Ex1-4F-lcwgs-2-1.clmp.fp2_r2_screen	5699.0	591.0	485.0	349.0	215.0	75.0	37.0	26.0	1.0	0.0	27186.0	651734.0
Och-ATum_024-Ex1-5F-lcwgs-2-1.clmp.fp2_r1_screen	4014.0	839.0	1104.0	244.0	143.0	36.0	25.0	20.0	0.0	0.0	22132.0	358916.0
Och-ATum_024-Ex1-5F-lcwgs-2-1.clmp.fp2_r2_screen	3991.0	854.0	1067.0	251.0	138.0	33.0	29.0	19.0	3.0	0.0	22017.0	359071.0
Och-ATum_025-Ex1-6F-lcwgs-2-1.clmp.fp2_r1_screen	11190.0	860.0	770.0	653.0	376.0	98.0	67.0	37.0	0.0	0.0	60341.0	1051043.0
Och-ATum_025-Ex1-6F-lcwgs-2-1.clmp.fp2_r2_screen	11220.0	843.0	811.0	698.0	397.0	81.0	50.0	34.0	3.0	0.0	59917.0	1051381.0
Och-ATum_026-Ex1-7F-lcwgs-2-1.clmp.fp2_r1_screen	553.0	30.0	63.0	41.0	25.0	6.0	8.0	1.0	0.0	0.0	2250.0	63317.0
Och-ATum_026-Ex1-7F-lcwgs-2-1.clmp.fp2_r2_screen	528.0	37.0	63.0	48.0	33.0	15.0	10.0	2.0	0.0	0.0	2254.0	63304.0
