Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Snippy_mqc-generalstats-snippy-VariantTotal
Adu-AMat_044-Ex3-4A-lcwgs-3-1	1.8848099999999999	0.965981	88592449.0	0.38463	97.76577019475987	86.88114248592083	
Adu-AMat_045-Ex3-9D-lcwgs-3-1	3.1858299999999997	0.965346	959282864.0	0.39423	95.33507656365316	83.6722987668682	
Adu-AMat_046-Ex1-6F-lcwgs-2-1	0.6327160000000001	0.962567	6671651.0	0.418735	96.25398066931113	77.77110453097939	
Adu-AMat_047-Ex1-6G-lcwgs-2-1	1.88742	0.963276	5156394.0	0.410906	96.26528160554024	81.05080913009681	
Adu-AMat_048-Ex1-6H-lcwgs-2-1	0.339559	0.961638	7964573.0	0.453206	96.25646577649465	75.54553109587393	
Adu-AMat_049-Ex1-7A-lcwgs-2-1	0.395793	0.961137	1798048.0	0.440512	90.59375637624974	73.33197306672108	
Adu-AMat_050-Ex1-7B-lcwgs-2-1	0.781496	0.962772	3271982.0	0.422985	95.27513684817056	73.22673581100547	
Adu-AMat_051-Ex1-7C-lcwgs-2-1	0.453031	0.962905	4497787.0	0.425004	93.79769045578814	75.76610764271433	
Adu-AMat_052-Ex3-4B-lcwgs-3-1	1.7317200000000001	0.967877	459016033.0	0.381546	97.72097509067365	92.97657618967702	
Adu-AMat_053-Ex2-4C-lcwgs-3-1	1.36437	0.966988	258121563.0	0.384851	93.83748298002837	88.67452469549812	
Adu-AMat_054-Ex2-4D-lcwgs-3-1	1.35812	0.96765	80098644.0	0.404096	94.85771462399069	90.41953107715123	
Adu-AMat_055-Ex2-4E-lcwgs-3-1	2.4323799999999998	0.965643	907577391.0	0.424602	93.96534851733992	83.8168675061218	
Adu-AMat_056-Ex2-4F-lcwgs-3-1	2.79115	0.966342	528404524.0	0.427456	96.53485862788392	88.03426098573097	
Adu-AMat_057-Ex1-8A-lcwgs-1and2-1	3.6000900000000002	0.963095	5087262.0	0.430082	43.97598511753763	62.55792322002368	
Adu-AMat_057-Ex2-4G-lcwgs-3-1	3.5749000000000004	0.965306	658029786.0	0.422329	96.26530967195363	85.45907976458311	
