Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Ecoli	Multiple Genomes	No hits
Par-CPas_073-Ex1-8E8F-lcwgs-1and2-T.clmp.fp2_r1_screen	10212.0	85366.0	7160.0	4992.0	2537.0	677.0	486.0	446.0	2.0	0.0	160471.0	5425310.0
Par-CPas_073-Ex1-8E8F-lcwgs-1and2-T.clmp.fp2_r2_screen	10163.0	84928.0	7083.0	5037.0	2586.0	653.0	494.0	468.0	45.0	0.0	161461.0	5424741.0
Par-CPas_074-Ex1-4G-lcwgs-1-T.clmp.fp2_r1_screen	10204.0	89034.0	7743.0	5518.0	3173.0	845.0	619.0	605.0	6.0	0.0	165140.0	6616778.0
Par-CPas_074-Ex1-4G-lcwgs-1-T.clmp.fp2_r2_screen	10413.0	88739.0	7753.0	5623.0	3061.0	834.0	624.0	583.0	20.0	0.0	167307.0	6614708.0
Par-CPas_075-Ex1-8A8B-lcwgs-1and2-T.clmp.fp2_r1_screen	6735.0	43767.0	4068.0	2452.0	1287.0	431.0	255.0	245.0	6.0	0.0	83683.0	2885212.0
Par-CPas_075-Ex1-8A8B-lcwgs-1and2-T.clmp.fp2_r2_screen	6746.0	43718.0	4012.0	2435.0	1206.0	460.0	247.0	233.0	4.0	0.0	83868.0	2885212.0
Par-CPas_076-Ex1-5G-lcwgs-1-T.clmp.fp2_r1_screen	1961.0	13463.0	1293.0	851.0	450.0	177.0	88.0	91.0	0.0	0.0	25742.0	931884.0
Par-CPas_076-Ex1-5G-lcwgs-1-T.clmp.fp2_r2_screen	1915.0	13299.0	1259.0	833.0	481.0	147.0	64.0	82.0	1.0	0.0	26035.0	931884.0
Par-CPas_077-Ex1-7G7H-lcwgs-1and2-T.clmp.fp2_r1_screen	8361.0	41013.0	5249.0	2378.0	1319.0	330.0	231.0	208.0	3.0	0.0	78180.0	2886326.0
Par-CPas_077-Ex1-7G7H-lcwgs-1and2-T.clmp.fp2_r2_screen	8245.0	40720.0	5115.0	2436.0	1305.0	331.0	254.0	222.0	6.0	0.0	78638.0	2886326.0
Par-CPas_079-Ex1-8C-lcwgs-1-T.clmp.fp2_r1_screen	21218.0	132976.0	9916.0	7752.0	3992.0	1346.0	779.0	660.0	6.0	0.0	248817.0	8496588.0
Par-CPas_079-Ex1-8C-lcwgs-1-T.clmp.fp2_r2_screen	21077.0	133053.0	10054.0	7944.0	3934.0	1278.0	796.0	623.0	5.0	0.0	249591.0	8495695.0
Par-CPas_082-Ex1-6G6H-lcwgs-1and2-T.clmp.fp2_r1_screen	2604.0	9639.0	1646.0	580.0	301.0	86.0	56.0	55.0	1.0	0.0	18458.0	699599.0
Par-CPas_082-Ex1-6G6H-lcwgs-1and2-T.clmp.fp2_r2_screen	2578.0	9554.0	1646.0	603.0	320.0	107.0	64.0	54.0	3.0	0.0	18571.0	699525.0
Par-CPas_083-Ex1-4A-lcwgs-1-T.clmp.fp2_r1_screen	14870.0	90145.0	18561.0	5367.0	2826.0	985.0	626.0	514.0	9.0	0.0	180089.0	5447322.0
Par-CPas_083-Ex1-4A-lcwgs-1-T.clmp.fp2_r2_screen	15033.0	90299.0	18583.0	5415.0	2752.0	990.0	582.0	518.0	5.0	0.0	180967.0	5446170.0
Par-CPas_084-Ex1-3F4F-lcwgs-1and2-T.clmp.fp2_r1_screen	862.0	3614.0	559.0	261.0	129.0	45.0	31.0	20.0	1.0	0.0	8576.0	266738.0
Par-CPas_084-Ex1-3F4F-lcwgs-1and2-T.clmp.fp2_r2_screen	862.0	3596.0	562.0	242.0	150.0	41.0	22.0	28.0	4.0	0.0	8620.0	266709.0
Par-CPas_085-Ex1-2D3F-lcwgs-1and2-T.clmp.fp2_r1_screen	700.0	2095.0	354.0	184.0	108.0	18.0	14.0	24.0	2.0	0.0	6150.0	184484.0
Par-CPas_085-Ex1-2D3F-lcwgs-1and2-T.clmp.fp2_r2_screen	693.0	2105.0	383.0	178.0	122.0	15.0	25.0	28.0	2.0	0.0	6176.0	184406.0
Par-CPas_087-Ex1-5H-lcwgs-1-T.clmp.fp2_r1_screen	8965.0	85484.0	6441.0	5170.0	2582.0	697.0	546.0	513.0	10.0	0.0	156278.0	5607449.0
