Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Dar-CJol_035-Ex1-8H-lcwgs-1-1.clmp.fp2_r1_screen	360.0	4445.0	560.0	446.0	341.0	56.0	34.0	18.0	0.0	0.0	0.0	16817.0	567116.0
Dar-CJol_035-Ex1-8H-lcwgs-1-1.clmp.fp2_r2_screen	361.0	4360.0	527.0	378.0	330.0	62.0	26.0	23.0	1.0	0.0	0.0	16596.0	567529.0
Dar-CJol_036-Ex1-8C-lcwgs-1-1.clmp.fp2_r1_screen	366.0	4880.0	623.0	450.0	375.0	69.0	35.0	18.0	1.0	0.0	0.0	18751.0	587569.0
Dar-CJol_036-Ex1-8C-lcwgs-1-1.clmp.fp2_r2_screen	359.0	4901.0	632.0	446.0	361.0	71.0	34.0	25.0	0.0	0.0	0.0	18494.0	587814.0
Dar-CJol_037-Ex1-2D-lcwgs-1-1.clmp.fp2_r1_screen	7568.0	16859.0	2544.0	1538.0	1611.0	221.0	81.0	88.0	1.0	0.0	0.0	76490.0	1934985.0
Dar-CJol_037-Ex1-2D-lcwgs-1-1.clmp.fp2_r2_screen	7661.0	16613.0	2427.0	1535.0	1519.0	198.0	105.0	94.0	1.0	0.0	0.0	74806.0	1937027.0
Dar-CJol_038-Ex1-6A-lcwgs-1-1.clmp.fp2_r1_screen	6379.0	13024.0	4796.0	1347.0	1058.0	164.0	97.0	67.0	3.0	0.0	0.0	53636.0	1884561.0
Dar-CJol_038-Ex1-6A-lcwgs-1-1.clmp.fp2_r2_screen	6326.0	12991.0	4781.0	1307.0	1024.0	156.0	82.0	89.0	0.0	0.0	0.0	53029.0	1885347.0
Dar-CJol_039-Ex1-7H-lcwgs-1-1.clmp.fp2_r1_screen	634.0	8420.0	1132.0	800.0	604.0	90.0	43.0	45.0	2.0	0.0	0.0	33893.0	919726.0
Dar-CJol_039-Ex1-7H-lcwgs-1-1.clmp.fp2_r2_screen	631.0	8143.0	1091.0	847.0	627.0	96.0	44.0	48.0	0.0	0.0	0.0	33268.0	920594.0
Dar-CJol_040-Ex1-1E-lcwgs-1-1.clmp.fp2_r1_screen	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	33.0
Dar-CJol_040-Ex1-1E-lcwgs-1-1.clmp.fp2_r2_screen	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	33.0
Dar-CJol_041-Ex1-1B-lcwgs-1-1.clmp.fp2_r1_screen	14567.0	21635.0	3306.0	2012.0	2016.0	223.0	134.0	103.0	2.0	0.0	0.0	101589.0	2399638.0
Dar-CJol_041-Ex1-1B-lcwgs-1-1.clmp.fp2_r2_screen	14660.0	21745.0	3044.0	1994.0	1899.0	261.0	137.0	114.0	2.0	0.0	0.0	99695.0	2401674.0
Dar-CJol_043-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	4911.0	9334.0	1413.0	832.0	853.0	139.0	95.0	58.0	2.0	0.0	0.0	37479.0	1380196.0
Dar-CJol_043-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	4814.0	9672.0	1319.0	778.0	833.0	153.0	80.0	63.0	1.0	0.0	0.0	36829.0	1380770.0
Dar-CJol_044-Ex1-5E-lcwgs-1-1.clmp.fp2_r1_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	27.0
Dar-CJol_044-Ex1-5E-lcwgs-1-1.clmp.fp2_r2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	27.0
Dar-CJol_045-Ex1-5D-lcwgs-1-1.clmp.fp2_r1_screen	5975.0	21517.0	3114.0	2113.0	1994.0	220.0	119.0	176.0	10.0	0.0	0.0	102709.0	2411898.0
Dar-CJol_045-Ex1-5D-lcwgs-1-1.clmp.fp2_r2_screen	5804.0	21338.0	2974.0	2123.0	1929.0	203.0	109.0	129.0	2.0	0.0	0.0	101296.0	2413938.0
Dar-CJol_046-Ex1-2A-lcwgs-1-1.clmp.fp2_r1_screen	4958.0	14900.0	2181.0	1411.0	1301.0	169.0	94.0	68.0	2.0	0.0	0.0	67860.0	1839352.0
Dar-CJol_046-Ex1-2A-lcwgs-1-1.clmp.fp2_r2_screen	4876.0	15030.0	2217.0	1280.0	1267.0	179.0	90.0	66.0	4.0	0.0	0.0	67162.0	1840125.0
Dar-CJol_050-Ex1-3E-lcwgs-1-1.clmp.fp2_r1_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
Dar-CJol_050-Ex1-3E-lcwgs-1-1.clmp.fp2_r2_screen	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
Dar-CJol_051-Ex1-1H-lcwgs-1-1.clmp.fp2_r1_screen	7664.0	20327.0	3122.0	1878.0	2002.0	253.0	150.0	120.0	5.0	0.0	0.0	85430.0	2634186.0
Dar-CJol_051-Ex1-1H-lcwgs-1-1.clmp.fp2_r2_screen	7569.0	20225.0	2983.0	1904.0	1830.0	254.0	133.0	109.0	5.0	0.0	0.0	83735.0	2636390.0
Dar-CJol_052-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	3651.0	14563.0	2015.0	1354.0	1305.0	181.0	113.0	83.0	1.0	0.0	0.0	62288.0	1762263.0
Dar-CJol_052-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	3665.0	14894.0	2016.0	1350.0	1228.0	148.0	76.0	76.0	3.0	0.0	0.0	61359.0	1763002.0
Dar-CJol_053-Ex1-2C-lcwgs-1-1.clmp.fp2_r1_screen	11320.0	17551.0	2633.0	1626.0	1647.0	227.0	101.0	93.0	0.0	0.0	0.0	80062.0	2007376.0
Dar-CJol_053-Ex1-2C-lcwgs-1-1.clmp.fp2_r2_screen	11273.0	17626.0	2565.0	1658.0	1580.0	172.0	100.0	75.0	2.0	0.0	0.0	78723.0	2008862.0
Dar-CJol_054-Ex1-2H-lcwgs-1-1.clmp.fp2_r1_screen	9774.0	18038.0	2760.0	1588.0	1526.0	266.0	131.0	88.0	0.0	0.0	0.0	70472.0	2868142.0
Dar-CJol_054-Ex1-2H-lcwgs-1-1.clmp.fp2_r2_screen	9624.0	18008.0	2708.0	1519.0	1421.0	292.0	149.0	92.0	4.0	0.0	0.0	69339.0	2869629.0
Dar-CJol_055-Ex1-6B-lcwgs-1-1.clmp.fp2_r1_screen	4595.0	17265.0	2381.0	1560.0	1431.0	218.0	125.0	80.0	6.0	0.0	0.0	65970.0	2551288.0
Dar-CJol_055-Ex1-6B-lcwgs-1-1.clmp.fp2_r2_screen	4643.0	17383.0	2389.0	1609.0	1414.0	242.0	131.0	94.0	2.0	0.0	0.0	65195.0	2551817.0
Dar-CJol_056-Ex1-8F-lcwgs-1-1.clmp.fp2_r1_screen	2279.0	18329.0	2490.0	1750.0	1622.0	216.0	120.0	92.0	3.0	0.0	0.0	74148.0	2265426.0
Dar-CJol_056-Ex1-8F-lcwgs-1-1.clmp.fp2_r2_screen	2333.0	18278.0	2464.0	1688.0	1548.0	214.0	107.0	99.0	4.0	0.0	0.0	73367.0	2266373.0
Dar-CJol_058-Ex1-1C-lcwgs-1-1.clmp.fp2_r1_screen	7159.0	14192.0	2143.0	1252.0	1294.0	167.0	105.0	56.0	2.0	0.0	0.0	60955.0	2021972.0
Dar-CJol_058-Ex1-1C-lcwgs-1-1.clmp.fp2_r2_screen	7189.0	14437.0	2037.0	1292.0	1225.0	171.0	101.0	54.0	3.0	0.0	0.0	59973.0	2022815.0
Dar-CJol_059-Ex1-6H-lcwgs-1-1.clmp.fp2_r1_screen	1487.0	7714.0	1104.0	725.0	642.0	107.0	67.0	51.0	3.0	0.0	0.0	32830.0	1114074.0
Dar-CJol_059-Ex1-6H-lcwgs-1-1.clmp.fp2_r2_screen	1484.0	7750.0	1148.0	716.0	644.0	107.0	56.0	39.0	1.0	0.0	0.0	32322.0	1114537.0
Dar-CJol_060-Ex1-1F-lcwgs-1-1.clmp.fp2_r1_screen	11239.0	36502.0	5354.0	3369.0	3317.0	464.0	238.0	209.0	8.0	0.0	0.0	157929.0	4575864.0
Dar-CJol_060-Ex1-1F-lcwgs-1-1.clmp.fp2_r2_screen	11145.0	36804.0	5146.0	3281.0	3171.0	415.0	240.0	180.0	9.0	0.0	0.0	155362.0	4578740.0
Dar-CJol_061-Ex1-2B-lcwgs-1-1.clmp.fp2_r1_screen	6623.0	18587.0	2615.0	1885.0	1622.0	192.0	99.0	89.0	6.0	0.0	0.0	92537.0	1892866.0
Dar-CJol_061-Ex1-2B-lcwgs-1-1.clmp.fp2_r2_screen	6606.0	18480.0	2568.0	1785.0	1529.0	197.0	106.0	102.0	2.0	0.0	0.0	91065.0	1894681.0
Dar-CJol_062-Ex1-7B-lcwgs-1-1.clmp.fp2_r1_screen	1823.0	12513.0	1625.0	1249.0	959.0	128.0	69.0	69.0	1.0	0.0	0.0	58918.0	1289321.0
Dar-CJol_062-Ex1-7B-lcwgs-1-1.clmp.fp2_r2_screen	1803.0	12625.0	1522.0	1268.0	936.0	143.0	70.0	78.0	2.0	0.0	0.0	58361.0	1289867.0
Dar-CJol_065-Ex1-2G-lcwgs-1-1.clmp.fp2_r1_screen	9279.0	8952.0	1368.0	835.0	821.0	93.0	55.0	49.0	0.0	0.0	0.0	41962.0	1070994.0
Dar-CJol_065-Ex1-2G-lcwgs-1-1.clmp.fp2_r2_screen	9197.0	9191.0	1326.0	803.0	790.0	99.0	58.0	52.0	0.0	0.0	0.0	41104.0	1071788.0
Dar-CJol_066-Ex1-5A-lcwgs-1-1.clmp.fp2_r1_screen	8055.0	12293.0	1803.0	1081.0	1125.0	149.0	85.0	53.0	3.0	0.0	0.0	55670.0	1565516.0
Dar-CJol_066-Ex1-5A-lcwgs-1-1.clmp.fp2_r2_screen	7985.0	12519.0	1713.0	1167.0	1090.0	140.0	85.0	64.0	1.0	0.0	0.0	54895.0	1566174.0
Dar-CJol_067-Ex1-2E-lcwgs-1-1.clmp.fp2_r1_screen	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0
Dar-CJol_067-Ex1-2E-lcwgs-1-1.clmp.fp2_r2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	19.0
Dar-CJol_068-Ex1-8E-lcwgs-1-1.clmp.fp2_r1_screen	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
Dar-CJol_068-Ex1-8E-lcwgs-1-1.clmp.fp2_r2_screen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0
Dar-CJol_069-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	3574.0	22208.0	3208.0	2176.0	2033.0	284.0	126.0	127.0	0.0	0.0	0.0	97661.0	2496543.0
Dar-CJol_069-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	3553.0	22086.0	3178.0	2124.0	1877.0	270.0	116.0	125.0	2.0	0.0	0.0	96490.0	2498119.0
Dar-CJol_070-Ex1-5F-lcwgs-1-1.clmp.fp2_r1_screen	11193.0	30864.0	4492.0	2946.0	2803.0	313.0	199.0	156.0	20.0	0.0	0.0	135505.0	3521953.0
Dar-CJol_070-Ex1-5F-lcwgs-1-1.clmp.fp2_r2_screen	11080.0	30716.0	4357.0	2833.0	2723.0	355.0	194.0	159.0	3.0	0.0	0.0	133845.0	3524179.0
Dar-CJol_071-Ex1-7D-lcwgs-1-1.clmp.fp2_r1_screen	1174.0	11203.0	1528.0	1079.0	932.0	132.0	72.0	48.0	1.0	0.0	0.0	47020.0	1353590.0
Dar-CJol_071-Ex1-7D-lcwgs-1-1.clmp.fp2_r2_screen	1197.0	11247.0	1521.0	1024.0	909.0	125.0	65.0	53.0	0.0	0.0	0.0	46198.0	1354440.0
Dar-CJol_072-Ex1-8G-lcwgs-1-1.clmp.fp2_r1_screen	360.0	4820.0	645.0	466.0	381.0	58.0	42.0	18.0	0.0	0.0	0.0	19871.0	580638.0
Dar-CJol_072-Ex1-8G-lcwgs-1-1.clmp.fp2_r2_screen	362.0	4742.0	662.0	441.0	384.0	83.0	27.0	16.0	0.0	0.0	0.0	19640.0	580942.0
