Sequence_Name	Extraction_ID
GotPopBL39	PopB-L-39-9A-lcwgs-1-2
GotPopWCL90	PopWC-L-90-9B-lcwgs-1-2
GotPopBS40	PopB-S-40-9C-lcwgs-1-2
GotPopAL30	PopA-L-30-9D-lcwgs-1-2
GotPopCS8	PopC-S-8-9E-lcwgs-1-2
GotPopCS21	PopC-S-21-9F-lcwgs-1-2
GotPopCS14	PopC-S-14-9G-lcwgs-1-2
GotPopWCL46	PopWC-L-46-9H-lcwgs-1-2
GotPopBS16	PopB-S-16-10A-lcwgs-1-2
GotPopAS1	PopA-S-1-10B-lcwgs-1-2
GotPopAS41	PopA-S-41-10C-lcwgs-1-2
GotPopAS43	PopA-S-43-10D-lcwgs-1-2
GotPopAL50	PopA-L-50-10E-lcwgs-1-2
GotPopAS15	PopA-S-15-10F-lcwgs-1-2
GotPopAS23	PopA-S-23-10G-lcwgs-1-2
GotPopAS12	PopA-S-12-10H-lcwgs-1-2
GotPopAL38	PopA-L-38-11A-lcwgs-1-2
GotPopWBL44	PopWB-L-44-11B-lcwgs-1-2
GotPopWCL209	PopWC-L-209-11C-lcwgs-1-2
GotPopBL18	PopB-L-18-11D-lcwgs-1-2
GotPopBL33	PopB-L-33-11E-lcwgs-1-2
GotPopBS10	PopB-S-10-11F-lcwgs-1-2
GotPopAL18	PopA-L-18-11G-lcwgs-1-2
GotPopCS4	PopC-S-4-11H-lcwgs-1-2
GotPopAL14	PopA-L-14-12A-lcwgs-1-2
GotPopCS39	PopC-S-39-12B-lcwgs-1-2
GotPopAL16	PopA-L-16-12C-lcwgs-1-2
GotPopAS18	PopA-S-18-12D-lcwgs-1-2
GotPopWCS281	PopWC-S-281-12E-lcwgs-1-2
GotPopCS19	PopC-S-19-12F-lcwgs-1-2
GotPopWCL196	PopWC-L-196-12G-lcwgs-1-2
GotPopAL41	PopA-L-41-12H-lcwgs-1-2
GotPopWBL231	PopWB-L-231-1A-lcwgs-1-2
GotPopAL19	PopA-L-19-2A-lcwgs-1-2
